,name,studio,yearReleased,rating
38,Blue Reflection Ray, J.C.Staff,2021,0.0
244,Megami-ryou no Ryoubo-kun., asread.,2021,0.0
61,Cue!," Graphinica, Yumeta Company",2022,0.0
245,Megaton-kyuu Musashi, OLM,2021,0.0
253,Mob Psycho 100 III, Bones,2022,0.0
57,Cestvs: The Roman Fighter, Bandai Namco Pictures,2021,0.0
240,Mars Red, Signal.MD,2021,0.0
54,Cardfight!! Vanguard: overDress Season 2," GIFTanimation, Kinema Citrus, Studio Jemi",2021,0.0
14,Ao Ashi, Production I.G,2022,0.0
23,Back Arrow, Studio VOLN,2021,0.0
246,Megaton-kyuu Musashi 2nd Season, OLM,2022,0.0
27,Battle Athletess Daiundoukai ReSTART!, Seven,2021,0.0
17,Ars no Kyojuu, Asahi Production,2023,0.0
242,Mazica Party, OLM,2021,0.0
29,Beastars 2nd Season, Orange,2021,0.0
261,Muteking the Dancing Hero," Tatsunoko Production, Tezuka Productions",2021,0.0
260,Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Cour, Studio Bind,2021,0.0
202,Kumichou Musume to Sewagakari," feel., Gaina",2022,0.0
254,Mononogatari, Bandai Namco Pictures,2023,0.0
218,Love Live! Superstar!!, Sunrise Beyond,2021,0.0
268,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu, GEEK TOYS,2023,0.0
283,Ooyukiumi no Kaina, Polygon Pictures,2023,0.0
281,Oniichan wa Oshimai!, Studio Bind,2023,0.0
279,One Piece Film: Red, Toei Animation,2022,0.0
277,Odd Taxi," OLM, P.I.C.S.",2021,0.0
273,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta., Studio A-CAT,2022,0.0
272,Non Non Biyori Nonstop, SILVER LINK.,2021,0.0
271,Nomad: Megalo Box 2, TMS Entertainment,2021,0.0
174,Kakegurui Twin, MAPPA,2022,0.0
230,Mahoutsukai Reimeiki, Tezuka Productions,2022,0.0
172,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life, Encourage Films,2023,0.0
168,Kai Byoui Ramune, Platinum Vision,2021,0.0
205,Kuro no Shoukanshi, Satelight,2022,0.0
252,Mini Dragon, Kyoto Animation,2021,0.0
220,Lupin III: Part 6, TMS Entertainment,2021,0.0
221,Lycoris Recoil, A-1 Pictures,2022,0.0
179,Kanojo mo Kanojo, Tezuka Productions,2021,0.0
258,Mushikaburi-hime, Madhouse,2022,0.0
266,Night Head 2041, Shirogumi,2021,0.0
257,Musashino!, A-Real,2022,0.0
215,Love All Play," Nippon Animation, OLM",2022,0.0
143,"Ijiranaide, Nagatoro-san", Telecom Animation Film,2021,0.0
165,Kageki Shoujo!!, Pine Jam,2021,0.0
177,Kami-tachi ni Hirowareta Otoko 2, Maho Film,2023,0.0
222,Machikado Mazoku: 2-choume, J.C.Staff,2022,0.0
175,Kami Kuzu☆Idol, Studio Gokumi,2022,0.0
219,Love Live! Superstar!! 2nd Season, Sunrise,2022,0.0
255,Mou Ippon!, Bakken Record,2023,0.0
267,Nijiyon Animation, Sunrise,2023,0.0
270,Nokemono-tachi no Yoru, Ashi Productions,2023,0.0
228,Mahouka Koukou no Yuutousei, Connect,2021,0.0
204,Kunoichi Tsubaki no Mune no Uchi, CloverWorks,2022,0.0
